City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,vandergrift,40.6028,-79.5648,15.04,76,100,1.34,US,1727878573
130,georgetown,5.4112,100.3354,28.96,81,20,1.03,MY,1727878516
131,itaituba,-4.2761,-55.9836,30.09,70,40,1.54,BR,1727878575
132,ghadamis,30.1337,9.5007,33.66,15,0,1.25,LY,1727878576
133,novouzensk,50.4592,48.1431,21.1,21,75,5.57,RU,1727878577
134,whitehorse,60.7161,-135.0538,1.56,100,100,5.14,CA,1727878580
135,axim,4.8699,-2.2405,26.75,77,86,5.87,GH,1727878581
136,happy valley-goose bay,53.3168,-60.3315,9.17,71,20,1.03,CA,1727878509
137,richards bay,-28.783,32.0377,18.92,59,57,3.75,ZA,1727878505
138,labytnangi,66.6572,66.4183,3.56,78,100,6.43,RU,1727878584
139,anderson,34.5334,-82.6499,22.57,87,0,2.52,US,1727878372
140,hermanus,-34.4187,19.2345,19.33,57,100,9.91,ZA,1727878586
141,chui,-33.6971,-53.4616,16.75,56,20,4.0,UY,1727878587
142,galesong,-5.3166,119.3661,28.33,69,20,2.71,ID,1727878588
143,magadan,59.5667,150.8,3.67,86,100,1.53,RU,1727878589
144,anar darah,32.7587,61.654,29.71,13,0,3.62,AF,1727878590
145,honggang,46.4667,124.8667,9.9,48,0,6.2,CN,1727878591
146,nantucket,41.2835,-70.0995,18.06,68,75,7.72,US,1727878580
147,alindao,5.0267,21.2088,23.97,89,100,2.35,CF,1727878594
148,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,100,1.0,RU,1727878595
149,qaisumah,28.3112,46.1273,37.98,9,0,3.09,SA,1727878596
150,port elizabeth,-33.918,25.5701,18.16,74,40,5.14,ZA,1727878597
151,geraldton,-28.7667,114.6,15.23,72,75,7.72,AU,1727878598
152,las tablas,7.7667,-80.2833,27.52,73,12,0.55,PA,1727878600
153,anadyr,64.75,177.4833,5.28,86,100,8.0,RU,1727878602
154,simcoe,42.8334,-80.2997,10.63,89,89,4.2,CA,1727878318
155,badger,64.8,-147.5333,-1.27,86,20,2.06,US,1727878604
156,zhangjiakou,40.81,114.8794,9.23,52,0,0.94,CN,1727878605
157,marolambo,-20.05,48.1167,24.65,60,68,2.27,MG,1727878606
158,tazovsky,67.4667,78.7,2.69,97,100,5.62,RU,1727878607
159,tiksi,71.6872,128.8694,-6.27,84,45,2.77,RU,1727878608
160,novoutkinsk,56.993,59.5571,6.25,46,10,0.72,RU,1727878610
161,ambodifotatra,-16.9833,49.85,24.68,71,10,3.65,MG,1727878612
162,saynshand,44.8824,110.1163,9.27,55,0,4.7,MN,1727878613
163,waingapu,-9.6567,120.2641,26.72,77,100,1.23,ID,1727878614
164,socorro,31.6546,-106.3033,20.77,42,0,2.57,US,1727878416
165,narasannapeta,18.4167,84.05,28.13,81,100,1.87,IN,1727878616
166,dudinka,69.4058,86.1778,2.74,79,100,2.63,RU,1727878617
167,yelizovo,53.1873,158.3805,11.08,100,100,1.0,RU,1727878618
168,coroata,-4.13,-44.1242,35.11,41,11,1.45,BR,1727878619
169,masterton,-40.9597,175.6575,12.8,89,98,4.7,NZ,1727878620
170,kuanda,56.3161,116.0806,3.06,99,100,2.77,RU,1727878621
171,broken hill,-31.95,141.4333,15.72,40,2,4.61,AU,1727878496
172,namibe,-15.1961,12.1522,20.75,75,13,5.23,AO,1727878421
173,lebowakgomo,-24.2,29.5,17.25,28,0,6.42,ZA,1727878624
174,ambalangoda,6.2355,80.0538,27.66,82,33,3.48,LK,1727878625
175,kinmparana,12.8402,-4.9199,32.35,52,96,1.42,ML,1727878626
176,nguigmi,14.2495,13.1092,36.72,23,76,5.3,NE,1727878627
177,fortaleza,-3.7227,-38.5247,31.07,77,75,11.32,BR,1727878402
178,kerman,30.2832,57.0788,27.92,16,20,3.09,IR,1727878630
179,al majaridah,19.1236,41.9111,33.98,48,0,5.89,SA,1727878631
180,chonchi,-42.6128,-73.8092,7.49,94,100,0.69,CL,1727878632
181,sault ste. marie,46.5168,-84.3333,9.16,87,0,1.03,CA,1727878433
182,remire-montjoly,4.9167,-52.2667,32.02,66,22,2.57,GF,1727878634
183,obuase,6.206,-1.6619,28.83,69,95,1.47,GH,1727878635
184,ust'-charyshskaya pristan',52.3934,83.6635,10.75,62,100,3.91,RU,1727878636
185,qamdo,31.1667,97.2333,6.79,86,89,3.35,CN,1727878637
186,faya-largeau,17.9257,19.1043,39.94,15,0,7.2,TD,1727878638
187,paulo afonso,-9.4061,-38.2147,31.51,31,68,4.03,BR,1727878639
188,hotan,37.0997,79.9269,18.01,22,0,3.62,CN,1727878640
189,kangding,30.0513,101.9603,9.4,99,100,1.94,CN,1727878641
190,tanabe,33.7333,135.3667,23.19,78,100,1.45,JP,1727878642
191,port lincoln,-34.7333,135.8667,16.41,67,57,8.82,AU,1727878643
192,trairi,-3.2778,-39.2689,31.04,50,23,7.18,BR,1727878516
193,pucallpa,-8.3791,-74.5539,31.02,62,20,2.06,PE,1727878506
194,muisne,0.6,-80.0333,23.86,85,100,4.1,EC,1727878646
195,i-n-salah,27.1935,2.4607,38.34,11,0,4.69,DZ,1727878573
196,diego de almagro,-26.3667,-70.05,25.0,16,26,1.81,CL,1727878556
197,broome,42.2506,-75.833,15.39,82,100,3.13,US,1727878651
198,suva,-18.1416,178.4415,23.61,90,8,2.58,FJ,1727878652
199,evron,48.1564,-0.3997,16.9,84,94,2.57,FR,1727878653
200,amga,60.8953,131.9608,4.26,97,100,4.58,RU,1727878654
201,umluj,25.0213,37.2685,29.31,64,0,7.37,SA,1727878655
202,timimoun,29.2639,0.231,39.21,13,0,4.12,DZ,1727878656
203,flin flon,54.7682,-101.865,2.91,70,20,6.17,CA,1727878657
